ema, rdp5, rdp10, rdp15
1112.233,0.055070974,-0.009943252,-0.017103111
1118.8383,0.035151,0.008274891,0.004191486
1125.5709,0.032863468,0.026947591,-0.003055342
1132.1283,0.039353956,0.04828997,-0.0479278
1137.3267,0.03159486,0.046652596,-0.0387421
1144.0155,0.024304701,0.055070974,-0.009943252
1149.1302,0.021244045,0.035151,0.008274891
1154.1307,0.0187679,0.032863468,0.026947591
1161.4904,0.028117398,0.039353956,0.04828997
1168.5262,0.033286747,0.03159486,0.046652596
1174.8151,0.02494081,0.024304701,0.055070974
1175.028,0.005377987,0.021244045,0.035151
1181.3046,0.02749272,0.0187679,0.032863468
1186.9696,0.015701972,0.028117398,0.039353956
1195.2894,0.026657226,0.033286747,0.03159486
1202.4755,0.026042318,0.02494081,0.024304701
1206.1825,0.03837977,0.005377987,0.021244045
1213.5018,0.030147292,0.02749272,0.0187679
1216.2816,0.014690459,0.015701972,0.028117398
1213.5233,-0.021227896,0.026657226,0.033286747
1211.0204,-0.024536608,0.026042318,0.02494081
1214.2524,0.00505323,0.03837977,0.005377987
1220.2557,0.001198917,0.030147292,0.02749272
1219.6168,-0.008424284,0.014690459,0.015701972
1214.3807,-0.007526091,-0.021227896,0.026657226
1209.5392,-0.009025708,-0.024536608,0.026042318
1202.9032,-0.04141207,0.00505323,0.03837977
1199.5667,-0.0466539,0.001198917,0.030147292
1190.279,-0.052528266,-0.008424284,0.014690459
1184.6694,-0.026151262,-0.007526091,-0.021227896
1184.4312,-0.005621099,-0.009025708,-0.024536608
1184.4652,0.00700465,-0.04141207,0.00505323
1183.8281,-0.00416444,-0.0466539,0.001198917
1182.8623,0.022434587,-0.052528266,-0.008424284
1179.5619,0.003553518,-0.026151262,-0.007526091
1171.7936,-0.03613074,-0.005621099,-0.009025708
1169.0571,-0.022361971,0.00700465,-0.04141207
1173.0355,0.00649289,-0.00416444,-0.0466539
1180.1042,0.024919428,0.022434587,-0.052528266
1187.6775,0.044248763,0.003553518,-0.026151262
1194.5381,0.071235724,-0.03613074,-0.005621099
1199.3243,0.05211939,-0.022361971,0.00700465
1204.8014,0.031759124,0.00649289,-0.00416444
1209.3589,0.015897285,0.024919428,0.022434587
1214.3733,0.013514359,0.044248763,0.003553518
1222.7225,0.027938277,0.071235724,-0.03613074
1229.704,0.032138694,0.05211939,-0.022361971
1234.5352,0.022132391,0.031759124,0.00649289
1241.0604,0.032233946,0.015897285,0.024919428
1246.7181,0.028288295,0.013514359,0.044248763
1251.8246,0.012841133,0.027938277,0.071235724
1255.2192,0.00888182,0.032138694,0.05211939
1253.0756,-0.007464937,0.022132391,0.031759124
1258.8644,0.011727,0.032233946,0.015897285
1265.4336,0.017615303,0.028288295,0.013514359
1270.991,0.016482586,0.012841133,0.027938277
1275.5404,0.019656321,0.00888182,0.032138694
1276.3087,0.028027324,-0.007464937,0.022132391
1280.5347,0.012027833,0.011727,0.032233946
1285.6241,0.011047387,0.017615303,0.028288295
1290.5232,0.013068175,0.016482586,0.012841133
1295.4486,0.016548946,0.019656321,0.00888182
1300.5703,0.032578323,0.028027324,-0.007464937
1305.4064,0.021049188,0.012027833,0.011727
1309.1654,0.013951187,0.011047387,0.017615303
1310.8162,0.005572046,0.013068175,0.016482586
1315.2987,0.013747447,0.016548946,0.019656321
1319.535,0.011672385,0.032578323,0.028027324
1322.4824,0.007186276,0.021049188,0.012027833
1325.5217,0.010179809,0.013951187,0.011047387
