ema100, rdp5, rdp10, rdp15, rdp20, rdp5post
14.827515, 3.837977, 0.53779864, 2.1244044, 3.5151, 0.50532293
29.278198, 3.0147293, 2.749272, 1.87679, 3.286347, 0.11989172
11.118408, 1.4690459, 1.5701972, 2.8117397, 3.9353955, -0.8424284
-11.033325, -2.1227896, 2.6657226, 3.3286746, 3.159486, -0.7526091
-10.010376, -2.4536607, 2.6042318, 2.494081, 2.43047, -0.9025708
12.927612, 0.50532293, 3.837977, 0.53779864, 2.1244044, -4.141207
24.014282, 0.11989172, 3.0147293, 2.749272, 1.87679, -4.66539
-2.5567627, -0.8424284, 1.4690459, 1.5701972, 2.8117397, -5.2528267
-20.940796, -0.7526091, -2.1227896, 2.6657226, 3.3286746, -2.6151261
-19.36914, -0.9025708, -2.4536607, 2.6042318, 2.494081, -0.5621099
-26.543213, -4.141207, 0.50532293, 3.837977, 0.53779864, 0.700465
-13.34668, -4.66539, 0.11989172, 3.0147293, 2.749272, -0.41644397
-37.149048, -5.2528267, -0.8424284, 1.4690459, 1.5701972, 2.2434587
-22.439453, -2.6151261, -0.7526091, -2.1227896, 2.6657226, 0.35535178
-0.9511719, -0.5621099, -0.9025708, -2.4536607, 2.6042318, -3.613074
0.13476562, 0.700465, -4.141207, 0.50532293, 3.837977, -2.2361972
-2.5480957, -0.41644397, -4.66539, 0.11989172, 3.0147293, 0.649289
-3.8623047, 2.2434587, -5.2528267, -0.8424284, 1.4690459, 2.491943
-13.201904, 0.35535178, -2.6151261, -0.7526091, -2.1227896, 4.424876
-31.073608, -3.613074, -0.5621099, -0.9025708, -2.4536607, 7.1235723
-10.947144, -2.2361972, 0.700465, -4.141207, 0.50532293, 5.211939
15.914429, 0.649289, -0.41644397, -4.66539, 0.11989172, 3.1759124
28.275757, 2.491943, 2.2434587, -5.2528267, -0.8424284, 1.5897285
30.29248, 4.424876, 0.35535178, -2.6151261, -0.7526091, 1.3514359
27.441895, 7.1235723, -3.613074, -0.5621099, -0.9025708, 2.7938275
19.14563, 5.211939, -2.2361972, 0.700465, -4.141207, 3.2138693
21.90857, 3.1759124, 0.649289, -0.41644397, -4.66539, 2.2132392
18.23108, 1.5897285, 2.491943, 2.2434587, -5.2528267, 3.2233946
20.056763, 1.3514359, 4.424876, 0.35535178, -2.6151261, 2.8288295
33.39746, 2.7938275, 7.1235723, -3.613074, -0.5621099, 1.2841133
27.926025, 3.2138693, 5.211939, -2.2361972, 0.700465, 0.88818204
19.32483, 2.2132392, 3.1759124, 0.649289, -0.41644397, -0.74649364
26.09961, 3.2233946, 1.5897285, 2.491943, 2.2434587, 1.1726999
22.631836, 2.8288295, 1.3514359, 4.424876, 0.35535178, 1.7615304
20.425415, 1.2841133, 2.7938275, 7.1235723, -3.613074, 1.6482586
13.580811, 0.88818204, 3.2138693, 5.211939, -2.2361972, 1.9656321
-8.575562, -0.74649364, 2.2132392, 3.1759124, 0.649289, 2.8027325
23.15564, 1.1726999, 3.2233946, 1.5897285, 2.491943, 1.2027832
26.276367, 1.7615304, 2.8288295, 1.3514359, 4.424876, 1.1047387
