ema100, rdp5, rdp10, rdp15, rdp20, label
18.546143, 2.4607146, 2.4197285, 0.47980282, 0.6343065, up
19.860962, 3.056891, 1.9948344, -0.3063421, 0.020961532, up
25.304688, 3.419305, 1.8508941, -0.2611807, 0.76359963, up
18.379883, 3.6841295, 0.38604277, 1.5552235, -0.124541685, up
16.968018, 2.11451, 1.8322256, 3.0874512, -0.355908, up
24.014282, 3.0271654, 2.4607146, 2.4197285, 0.47980282, up
18.347168, 2.3082187, 3.056891, 1.9948344, -0.3063421, up
14.87793, 1.1978163, 3.419305, 1.8508941, -0.2611807, up
11.558838, 1.3797655, 3.6841295, 0.38604277, 1.5552235, up
21.630615, 2.5667477, 2.11451, 1.8322256, 3.0874512, up
18.024414, 1.4058834, 3.0271654, 2.4607146, 2.4197285, up
16.363892, 1.7339915, 2.3082187, 3.056891, 1.9948344, up
22.443237, 2.7981153, 1.1978163, 3.419305, 1.8508941, up
23.21045, 3.4508824, 1.3797655, 3.6841295, 0.38604277, down
22.320435, 2.411676, 2.5667477, 2.11451, 1.8322256, down
20.136108, 2.5884817, 1.4058834, 3.0271654, 2.4607146, down
14.733154, 2.203046, 1.7339915, 2.3082187, 3.056891, down
7.2106934, 0.6037769, 2.7981153, 1.1978163, 3.419305, up
-11.855225, -1.973387, 3.4508824, 1.3797655, 3.6841295, up
-11.660278, -2.6290762, 2.411676, 2.5667477, 2.11451, up
1.1757812, -1.7035598, 2.5884817, 1.4058834, 3.0271654, up
5.0125732, -1.0965797, 2.203046, 1.7339915, 2.3082187, down
19.138184, 1.1139208, 0.6037769, 2.7981153, 1.1978163, down
20.470703, 3.750825, -1.973387, 3.4508824, 1.3797655, down
5.7441406, 2.7874951, -2.6290762, 2.411676, 2.5667477, down
1.6512451, 1.2257091, -1.7035598, 2.5884817, 1.4058834, down
-15.110718, -1.099689, -1.0965797, 2.203046, 1.7339915, up
-14.352539, -3.0157428, 1.1139208, 0.6037769, 2.7981153, down
9.958008, -1.1979896, 3.750825, -1.973387, 3.4508824, down
7.2943115, -0.097596794, 2.7874951, -2.6290762, 2.411676, down
-11.468628, -1.7103112, 1.2257091, -1.7035598, 2.5884817, down
-6.7110596, 0.41914856, -1.099689, -1.0965797, 2.203046, up
-13.960693, -0.3055342, -3.0157428, 1.1139208, 0.6037769, up
-29.880493, -4.79278, -1.1979896, 3.750825, -1.973387, up
-16.344482, -3.87421, -0.097596794, 2.7874951, -2.6290762, up
-4.4992676, -0.99432516, -1.7103112, 1.2257091, -1.7035598, up
14.832642, 0.82748914, 0.41914856, -1.099689, -1.0965797, up
19.433594, 2.6947591, -0.3055342, -3.0157428, 1.1139208, up
14.483032, 4.828997, -4.79278, -1.1979896, 3.750825, up
18.106201, 4.66526, -3.87421, -0.097596794, 2.7874951, up
30.756958, 5.5070972, -0.99432516, -1.7103112, 1.2257091, up
26.421753, 3.5151, 0.82748914, 0.41914856, -1.099689, up
26.929077, 3.286347, 2.6947591, -0.3055342, -3.0157428, up
26.23169, 3.9353955, 4.828997, -4.79278, -1.1979896, up
20.793335, 3.159486, 4.66526, -3.87421, -0.097596794, up
26.754517, 2.43047, 5.5070972, -0.99432516, -1.7103112, up
20.459717, 2.1244044, 3.5151, 0.82748914, 0.41914856, up
19.999268, 1.87679, 3.286347, 2.6947591, -0.3055342, up
29.439697, 2.8117397, 3.9353955, 4.828997, -4.79278, up
28.143799, 3.3286746, 3.159486, 4.66526, -3.87421, up
25.154907, 2.494081, 2.43047, 5.5070972, -0.99432516, up
0.8520508, 0.53779864, 2.1244044, 3.5151, 0.82748914, up
25.105469, 2.749272, 1.87679, 3.286347, 2.6947591, up
22.6604, 1.5701972, 2.8117397, 3.9353955, 4.828997, up
33.280518, 2.6657226, 3.3286746, 3.159486, 4.66526, down
28.744507, 2.6042318, 2.494081, 2.43047, 5.5070972, down
14.827515, 3.837977, 0.53779864, 2.1244044, 3.5151, up
29.278198, 3.0147293, 2.749272, 1.87679, 3.286347, up
11.118408, 1.4690459, 1.5701972, 2.8117397, 3.9353955, down
-11.033325, -2.1227896, 2.6657226, 3.3286746, 3.159486, down
-10.010376, -2.4536607, 2.6042318, 2.494081, 2.43047, down
12.927612, 0.50532293, 3.837977, 0.53779864, 2.1244044, down
24.014282, 0.11989172, 3.0147293, 2.749272, 1.87679, down
